 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2014-2018
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 Adamantina";156;144;165;149;185;153;164;166;136;138;125;137;1818
"350020 Adolfo";25;22;19;26;18;20;19;22;16;18;15;17;237
"350030 Aguaí";179;173;190;191;208;190;186;152;147;148;157;162;2083
"350040 Águas da Prata";38;35;28;41;37;44;37;27;34;35;35;29;420
"350050 Águas de Lindóia";112;91;111;83;89;87;100;79;94;87;69;91;1093
"350055 Águas de Santa Bárbara";30;35;28;31;35;31;39;35;26;30;31;33;384
"350060 Águas de São Pedro";14;12;8;13;20;5;14;13;12;13;9;11;144
"350070 Agudos";216;209;242;255;238;230;220;209;221;202;185;208;2635
"350075 Alambari";31;31;26;30;25;28;27;29;36;24;24;29;340
"350080 Alfredo Marcondes";19;26;20;19;33;19;16;22;15;16;11;21;237
"350090 Altair";17;19;20;18;27;24;17;17;18;22;14;16;229
"350100 Altinópolis";77;74;106;90;84;88;77;72;62;81;45;73;929
"350110 Alto Alegre";23;27;17;10;11;9;12;17;20;20;24;13;203
"350115 Alumínio";110;82;97;103;101;87;94;103;103;108;93;107;1188
"350120 Álvares Florence";12;17;20;17;14;13;6;14;4;17;11;17;162
"350130 Álvares Machado";158;141;180;146;144;141;135;126;137;134;115;139;1696
"350140 Álvaro de Carvalho";22;18;28;25;23;13;13;19;13;15;22;17;228
"350150 Alvinlândia";18;17;24;28;28;11;22;22;16;14;14;14;228
"350160 Americana";1154;1073;1263;1167;1253;1099;1108;1078;1109;1045;1004;1055;13408
"350170 Américo Brasiliense";239;258;226;225;221;197;190;200;195;201;168;186;2506
"350180 Américo de Campos";27;21;24;24;19;27;26;19;16;22;23;27;275
"350190 Amparo";340;381;384;376;404;386;375;334;342;348;319;348;4337
"350200 Analândia";20;20;38;29;14;24;14;24;17;15;15;21;251
"350210 Andradina";310;303;330;365;325;298;296;253;301;247;270;285;3583
"350220 Angatuba";137;139;155;177;150;133;130;138;137;120;122;139;1677
"350230 Anhembi";33;36;34;47;28;38;34;40;31;25;24;41;411
"350240 Anhumas";27;21;23;26;17;23;20;23;24;20;19;15;258
"350250 Aparecida";203;212;208;212;227;203;207;198;182;193;171;182;2398
"350260 Aparecida d'Oeste";17;22;26;29;20;17;18;17;13;13;19;16;227
"350270 Apiaí";174;146;161;147;176;143;152;147;142;144;149;145;1826
"350275 Araçariguama";150;127;147;146;137;142;128;120;136;143;128;133;1637
"350280 Araçatuba";1039;1048;1184;1079;1108;1012;955;970;960;924;858;948;12085
"350290 Araçoiaba da Serra";161;187;177;184;191;176;173;174;173;127;158;151;2032
"350300 Aramina";33;25;28;37;32;32;33;35;19;28;32;25;359
"350310 Arandu";30;33;39;41;42;32;34;30;22;20;38;40;401
"350315 Arapeí";2;9;7;14;8;6;6;9;5;5;3;6;80
"350320 Araraquara";1216;1141;1297;1286;1299;1180;1160;1109;1154;1156;1085;1118;14201
"350330 Araras";645;629;707;758;736;674;631;645;584;570;564;668;7811
"350335 Arco-Íris";10;13;9;17;6;11;8;6;10;12;4;9;115
"350340 Arealva";28;42;43;35;23;40;35;35;20;31;26;28;386
"350350 Areias";21;15;23;25;22;17;19;13;18;21;12;15;221
"350360 Areiópolis";55;57;69;77;61;66;71;54;53;48;43;53;707
"350370 Ariranha";40;56;45;40;38;35;36;31;29;29;27;31;437
"350380 Artur Nogueira";262;279;296;323;332;292;246;265;252;219;200;238;3204
"350390 Arujá";622;585;672;622;661;563;614;543;583;512;536;573;7086
"350395 Aspásia";15;9;5;15;11;6;7;7;8;10;8;13;114
"350400 Assis";572;497;658;591;561;559;535;517;530;453;434;501;6408
"350410 Atibaia";875;863;986;984;946;855;851;765;793;830;763;815;10326
"350420 Auriflama";54;79;82;72;83;68;80;66;56;69;61;50;820
"350430 Avaí";32;24;29;23;36;28;27;20;29;24;26;24;322
"350440 Avanhandava";64;77;67;78;76;63;52;47;53;46;55;65;743
"350450 Avaré";580;553;627;601;614;580;606;517;536;500;480;527;6721
"350460 Bady Bassitt";109;79;114;127;122;89;94;96;101;94;72;98;1195
"350470 Balbinos";6;7;7;7;5;10;6;9;2;7;1;6;73
"350480 Bálsamo";32;40;35;39;33;42;33;35;27;26;27;29;398
"350490 Bananal";28;48;46;54;41;25;32;33;35;35;31;30;438
"350500 Barão de Antonina";21;24;27;14;24;29;23;18;16;17;22;15;250
"350510 Barbosa";42;37;45;42;44;43;29;36;38;33;38;39;466
"350520 Bariri";157;163;189;186;201;165;175;162;153;143;150;174;2018
"350530 Barra Bonita";146;129;132;155;145;132;135;162;114;118;109;146;1623
"350535 Barra do Chapéu";31;27;32;34;32;34;35;37;30;28;28;33;381
"350540 Barra do Turvo";35;20;36;36;33;34;31;37;37;41;20;36;396
"350550 Barretos";637;651;723;660;718;642;636;588;618;623;615;557;7668
"350560 Barrinha";227;178;232;229;252;192;199;180;184;183;155;196;2407
"350570 Barueri";2340;2363;2565;2504;2501;2401;2311;2332;2281;2099;2116;2291;28104
"350580 Bastos";135;148;139;130;129;119;109;113;102;113;100;120;1457
"350590 Batatais";318;297;335;282;339;306;267;291;304;297;269;311;3616
"350600 Bauru";1985;2008;2299;2106;2236;2084;1987;1911;1919;1815;1757;1885;23992
"350610 Bebedouro";398;404;423;438;446;374;394;378;376;351;335;413;4730
"350620 Bento de Abreu";16;9;15;10;19;11;13;13;10;11;15;19;161
"350630 Bernardino de Campos";49;53;71;49;68;67;63;48;46;57;48;60;679
"350635 Bertioga";415;416;466;467;474;435;427;413;407;402;343;392;5057
"350640 Bilac";32;26;45;40;39;43;39;29;40;28;26;30;417
"350650 Birigui";645;627;730;722;673;677;639;514;588;543;523;563;7444
"350660 Biritiba-Mirim";155;141;183;165;162;165;153;150;137;169;154;174;1908
"350670 Boa Esperança do Sul";76;64;96;79;85;73;78;74;58;59;64;76;882
"350680 Bocaina";66;60;69;72;71;61;64;56;44;47;53;64;727
"350690 Bofete";63;57;61;53;62;55;52;49;54;33;69;42;650
"350700 Boituva";345;334;391;384;355;386;332;377;327;345;280;327;4183
"350710 Bom Jesus dos Perdões";135;128;136;158;149;133;121;132;127;116;119;150;1604
"350715 Bom Sucesso de Itararé";34;21;40;26;27;47;25;22;29;28;24;29;352
"350720 Borá";8;1;7;4;5;6;6;5;11;1;4;6;64
"350730 Boracéia";21;24;24;27;29;21;25;26;21;23;21;24;286
"350740 Borborema";62;76;82;65;81;64;75;54;56;45;51;53;764
"350745 Borebi";12;13;21;17;21;11;18;13;15;10;15;22;188
"350750 Botucatu";743;738;865;843;782;783;749;745;708;712;651;716;9035
"350760 Bragança Paulista";978;899;1083;984;936;948;965;856;898;876;825;892;11140
"350770 Braúna";39;19;35;39;37;36;26;22;28;25;24;26;356
"350775 Brejo Alegre";12;8;9;12;18;14;21;13;11;11;7;14;150
"350780 Brodowski";122;120;147;142;135;127;121;125;122;132;122;130;1545
"350790 Brotas";125;137;143;137;143;119;119;130;134;121;100;105;1513
"350800 Buri";140;116;136;158;149;131;143;137;115;101;119;129;1574
"350810 Buritama";77;85;96;91;97;93;79;72;78;70;89;71;998
"350820 Buritizal";17;15;22;26;18;23;16;17;16;22;20;27;239
"350830 Cabrália Paulista";22;8;27;22;36;33;27;23;17;34;15;23;287
"350840 Cabreúva";338;331;335;333;357;338;327;316;315;288;293;314;3885
"350850 Caçapava";537;564;633;595;582;523;507;493;540;510;466;445;6395
"350860 Cachoeira Paulista";161;148;178;163;176;153;186;158;171;128;171;182;1975
"350870 Caconde";80;90;112;87;85;82;68;92;77;82;71;77;1003
"350880 Cafelândia";92;101;107;95;101;71;112;71;113;93;87;86;1129
"350890 Caiabu";22;16;17;13;16;15;28;15;19;10;11;12;194
"350900 Caieiras";582;589;681;641;678;575;597;554;604;547;511;561;7120
"350910 Caiuá";18;17;29;22;14;13;17;19;20;17;18;21;225
"350920 Cajamar";518;515;569;564;584;554;544;510;538;515;467;513;6391
"350925 Cajati";187;200;264;216;249;221;197;186;187;166;160;186;2419
"350930 Cajobi";40;43;55;39;53;48;32;37;48;33;50;53;531
"350940 Cajuru";149;143;185;166;157;169;143;143;160;124;125;146;1810
"350945 Campina do Monte Alegre";36;23;39;36;26;32;26;45;34;33;41;25;396
"350950 Campinas";6520;6489;7264;6978;7083;6638;6409;6356;6228;5861;5821;6198;77845
"350960 Campo Limpo Paulista";490;440;613;494;498;464;465;447;453;423;377;442;5606
"350970 Campos do Jordão";337;312;347;312;369;312;276;306;294;310;303;296;3774
"350980 Campos Novos Paulista";31;15;26;24;34;20;20;29;24;26;21;33;303
"350990 Cananéia";85;79;76;94;82;80;101;83;87;60;57;53;937
"350995 Canas";47;29;41;27;29;35;34;31;46;24;37;34;414
"351000 Cândido Mota";147;110;152;158;151;142;147;127;115;96;121;127;1593
"351010 Cândido Rodrigues";14;13;11;8;12;6;6;6;9;4;8;7;104
"351015 Canitar";24;22;32;34;21;38;20;23;35;26;24;29;328
"351020 Capão Bonito";284;246;303;307;306;291;276;276;283;265;238;281;3356
"351030 Capela do Alto";116;110;126;102;134;118;133;119;123;98;93;123;1395
"351040 Capivari";293;277;339;322;352;309;286;278;275;241;235;274;3481
"351050 Caraguatatuba";712;782;784;801;799;795;722;688;664;664;605;685;8701
"351060 Carapicuíba";2961;2902;3281;3087;3201;2982;3112;2950;2854;2697;2648;2698;35373
"351070 Cardoso";52;40;71;69;54;55;52;52;30;35;49;53;612
"351080 Casa Branca";130;120;149;139;132;148;141;124;117;117;107;115;1539
"351090 Cássia dos Coqueiros";9;9;14;20;6;14;9;5;9;10;14;7;126
"351100 Castilho";111;117;129;104;110;106;105;77;103;79;93;98;1232
"351110 Catanduva";616;591;628;599;661;597;565;545;557;512;507;531;6909
"351120 Catiguá";45;25;48;42;42;34;39;25;38;38;44;28;448
"351130 Cedral";51;39;41;51;46;38;41;45;38;47;41;35;513
"351140 Cerqueira César";107;109;106;112;126;105;90;110;94;101;84;113;1257
"351150 Cerquilho";208;234;255;243;262;200;219;203;227;200;184;232;2667
"351160 Cesário Lange";116;101;136;110;107;123;110;107;81;102;94;87;1274
"351170 Charqueada";107;76;91;113;94;94;96;95;82;69;69;77;1063
"355720 Chavantes";87;87;96;67;107;80;88;67;58;64;50;76;927
"351190 Clementina";41;43;45;47;55;43;41;49;40;44;40;49;537
"351200 Colina";99;111;117;117;124;109;96;91;82;82;90;88;1206
"351210 Colômbia";40;41;48;47;47;38;38;34;43;40;35;50;501
"351220 Conchal";169;183;188;185;177;179;188;164;153;173;154;182;2095
"351230 Conchas";87;96;110;94;110;95;87;66;81;77;78;72;1053
"351240 Cordeirópolis";125;135;142;133;138;111;126;117;110;101;109;132;1479
"351250 Coroados";24;22;33;35;25;36;20;33;31;32;19;22;332
"351260 Coronel Macedo";27;17;17;19;26;26;15;18;17;10;25;26;243
"351270 Corumbataí";26;22;25;25;34;18;20;14;16;16;17;18;251
"351280 Cosmópolis";344;324;350;358;324;308;307;325;313;284;276;274;3787
"351290 Cosmorama";29;30;37;45;32;24;26;31;40;30;36;23;383
"351300 Cotia";1839;1691;2019;1824;1927;1786;1730;1753;1783;1692;1671;1779;21494
"351310 Cravinhos";181;185;208;174;181;176;135;180;181;171;166;152;2090
"351320 Cristais Paulista";48;40;57;45;55;47;47;42;48;37;43;41;550
"351330 Cruzália";8;5;19;7;10;9;11;14;6;11;7;11;118
"351340 Cruzeiro";384;404;460;472;477;410;420;403;398;347;337;395;4907
"351350 Cubatão";711;739;871;854;823;773;734;703;667;577;607;677;8736
"351360 Cunha";116;97;127;108;82;92;96;92;100;96;74;85;1165
"351370 Descalvado";177;154;175;163;161;143;144;157;111;131;143;148;1807
"351380 Diadema";2605;2460;2775;2687;2729;2547;2587;2562;2405;2239;2194;2398;30188
"351385 Dirce Reis";4;7;10;2;9;8;6;9;7;2;2;7;73
"351390 Divinolândia";58;50;58;60;66;51;48;52;49;38;39;51;620
"351400 Dobrada";39;37;67;49;54;46;63;49;38;31;46;46;565
"351410 Dois Córregos";143;139;149;152;182;157;182;131;105;141;128;128;1737
"351420 Dolcinópolis";8;9;7;9;10;9;10;10;13;7;3;10;105
"351430 Dourado";45;38;48;51;51;35;43;32;30;33;28;24;458
"351440 Dracena";239;212;228;241;207;184;197;205;203;199;163;202;2480
"351450 Duartina";51;61;82;57;54;54;57;56;54;58;51;45;680
"351460 Dumont";50;43;57;51;52;48;43;37;34;37;41;56;549
"351470 Echaporã";28;35;40;34;39;43;31;38;30;30;38;21;407
"351480 Eldorado";91;82;101;122;101;98;104;74;94;84;73;76;1100
"351490 Elias Fausto";85;93;114;86;101;92;88;92;84;80;64;81;1060
"351492 Elisiário";19;10;20;17;14;15;16;14;12;21;14;15;187
"351495 Embaúba";4;8;7;9;8;7;9;8;9;13;8;13;103
"351500 Embu das Artes";1816;1764;2115;1911;1980;1924;1800;1796;1755;1694;1602;1730;21887
"351510 Embu-Guaçu";397;391;455;452;453;405;400;366;388;381;394;388;4870
"351512 Emilianópolis";10;12;17;13;16;17;10;10;11;12;16;11;155
"351515 Engenheiro Coelho";113;113;119;124;124;112;102;115;102;94;109;125;1352
"351518 Espírito Santo do Pinhal";233;183;206;195;213;188;226;193;162;171;150;195;2315
"351519 Espírito Santo do Turvo";23;25;29;27;24;27;18;22;26;24;19;25;289
"355730 Estiva Gerbi";61;50;67;69;64;49;53;50;46;64;43;56;672
"351520 Estrela d'Oeste";37;47;36;35;39;42;40;44;34;32;39;49;474
"351530 Estrela do Norte";19;14;19;12;23;9;20;13;13;13;10;17;182
"351535 Euclides da Cunha Paulista";53;45;51;51;49;49;39;61;31;43;40;36;548
"351540 Fartura";83;76;90;106;94;94;78;78;87;73;76;88;1023
"351560 Fernando Prestes";22;19;33;22;24;23;26;25;31;11;25;22;283
"351550 Fernandópolis";308;345;318;383;373;340;317;314;312;351;308;302;3971
"351565 Fernão";2;4;11;8;14;8;12;5;9;10;4;6;93
"351570 Ferraz de Vasconcelos";1312;1273;1377;1318;1350;1207;1193;1213;1204;1075;1046;1118;14686
"351580 Flora Rica";7;5;2;9;9;9;9;14;7;6;6;5;88
"351590 Floreal";13;7;8;14;14;5;9;15;9;9;12;13;128
"351600 Flórida Paulista";53;49;56;60;54;49;49;38;63;34;36;30;571
"351610 Florínia";17;12;16;14;15;13;10;17;16;12;13;13;168
"351620 Franca";2076;2039;2302;2144;2196;2181;2088;1961;1940;1928;1875;1943;24673
"351630 Francisco Morato";1238;1196;1390;1374;1389;1290;1205;1178;1181;1145;1127;1198;14911
"351640 Franco da Rocha";983;904;1023;1040;1036;1023;925;945;926;844;848;875;11372
"351650 Gabriel Monteiro";22;12;9;15;15;12;10;9;11;16;15;10;156
"351660 Gália";36;42;32;20;30;32;33;28;32;28;27;21;361
"351670 Garça";236;197;261;271;261;195;212;204;206;207;195;220;2665
"351680 Gastão Vidigal";16;17;19;26;13;27;19;21;22;16;12;13;221
"351685 Gavião Peixoto";23;33;23;32;35;18;36;21;26;27;21;17;312
"351690 General Salgado";62;48;51;49;51;56;47;46;45;44;44;49;592
"351700 Getulina";42;39;42;53;50;44;45;46;44;36;40;55;536
"351710 Glicério";34;25;36;27;26;25;12;18;13;21;16;23;276
"351720 Guaiçara";63;54;87;82;69;58;62;51;52;59;54;52;743
"351730 Guaimbê";34;27;29;35;30;26;21;32;39;34;21;29;357
"351740 Guaíra";194;176;236;213;213;168;216;203;163;168;172;177;2299
"351750 Guapiaçu";99;94;117;84;136;97;108;79;99;119;77;119;1228
"351760 Guapiara";114;110;108;109;94;90;104;87;118;96;115;110;1255
"351770 Guará";105;89;110;117;124;93;94;81;85;90;86;107;1181
"351780 Guaraçaí";30;39;30;28;53;37;37;25;24;22;29;24;378
"351790 Guaraci";47;32;62;57;46;48;42;39;46;51;38;48;556
"351800 Guarani d'Oeste";7;3;12;12;15;3;8;6;10;9;8;3;96
"351810 Guarantã";42;30;42;32;38;30;28;29;28;31;26;29;385
"351820 Guararapes";151;177;179;155;175;161;164;142;139;144;154;151;1892
"351830 Guararema";188;160;193;183;184;194;171;184;181;145;144;168;2095
"351840 Guaratinguetá";607;627;738;643;690;637;654;581;573;562;507;562;7381
"351850 Guareí";65;73;78;67;78;76;59;62;54;59;47;57;775
"351860 Guariba";238;240;215;231;206;212;194;208;185;191;208;216;2544
"351870 Guarujá";1928;1931;2128;2104;2158;2013;1928;1880;1779;1604;1528;1815;22796
"351880 Guarulhos";9155;8837;9954;9355;10034;9104;8991;8550;8678;8189;8089;8454;107390
"351885 Guatapará";45;37;47;50;42;44;46;56;24;45;31;41;508
"351890 Guzolândia";22;25;26;33;30;19;27;25;19;27;17;19;289
"351900 Herculândia";51;44;46;41;41;34;34;43;45;43;35;50;507
"351905 Holambra";86;76;98;101;102;93;93;88;80;78;82;84;1061
"351907 Hortolândia";1298;1300;1354;1397;1399;1282;1296;1309;1158;1213;1180;1222;15408
"351910 Iacanga";53;61;87;74;69;65;61;43;45;54;52;50;714
