 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2018
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 Adamantina";29;23;36;31;39;27;22;30;38;33;29;29;366
"350020 Adolfo";6;4;6;9;3;3;2;5;2;1;3;2;46
"350030 Aguaí";42;44;44;47;36;40;40;33;31;35;28;31;451
"350040 Águas da Prata";7;8;6;6;7;10;5;4;8;12;9;3;85
"350050 Águas de Lindóia";21;16;18;20;11;14;14;20;16;11;11;26;198
"350055 Águas de Santa Bárbara";3;5;3;9;9;12;3;5;4;6;2;4;65
"350060 Águas de São Pedro";2;3;2;3;5;1;2;2;2;2;1;1;26
"350070 Agudos";39;51;54;46;53;51;53;41;47;33;41;34;543
"350075 Alambari";10;5;6;3;5;8;7;5;7;5;4;4;69
"350080 Alfredo Marcondes";4;8;4;6;7;8;4;6;4;4;3;2;60
"350090 Altair";7;5;3;4;4;6;2;1;4;3;-;1;40
"350100 Altinópolis";13;9;30;18;18;18;17;19;14;12;10;9;187
"350110 Alto Alegre";6;5;2;1;4;3;1;1;2;1;3;4;33
"350115 Alumínio";23;7;16;18;19;15;20;23;18;13;16;23;211
"350120 Álvares Florence";3;1;2;4;3;2;2;2;1;3;3;2;28
"350130 Álvares Machado";25;28;38;27;23;26;24;23;29;40;26;25;334
"350140 Álvaro de Carvalho";4;2;2;8;4;2;2;6;2;2;4;4;42
"350150 Alvinlândia";2;3;4;8;9;3;4;6;5;5;-;4;53
"350160 Americana";228;195;232;229;274;201;212;247;208;211;208;235;2680
"350170 Américo Brasiliense";40;51;34;34;40;29;44;42;33;24;33;43;447
"350180 Américo de Campos";5;5;2;6;5;9;4;4;6;2;5;9;62
"350190 Amparo";56;86;73;70;89;74;66;58;75;78;70;59;854
"350200 Analândia";4;5;4;2;2;4;3;4;5;3;7;4;47
"350210 Andradina";69;54;64;83;73;47;60;60;59;51;56;63;739
"350220 Angatuba";30;28;25;32;35;28;21;29;36;28;19;26;337
"350230 Anhembi";3;10;9;10;5;10;10;10;3;6;3;13;92
"350240 Anhumas";9;3;2;6;3;5;1;11;5;-;6;4;55
"350250 Aparecida";35;38;36;41;47;28;41;30;26;35;29;32;418
"350260 Aparecida d'Oeste";2;5;7;8;3;5;4;-;5;2;1;6;48
"350270 Apiaí";37;30;32;24;38;28;28;29;19;30;22;28;345
"350275 Araçariguama";34;31;36;27;42;35;25;29;35;35;23;20;372
"350280 Araçatuba";223;230;243;219;218;206;191;191;177;176;158;194;2426
"350290 Araçoiaba da Serra";27;30;26;36;39;30;37;35;34;17;23;26;360
"350300 Aramina";10;3;4;5;3;11;6;3;6;9;9;3;72
"350310 Arandu";5;6;7;10;13;9;6;5;4;5;9;5;84
"350315 Arapeí";-;-;1;2;2;1;1;2;2;2;1;2;16
"350320 Araraquara";232;226;268;259;262;241;232;201;249;216;199;218;2803
"350330 Araras";131;126;141;148;154;139;129;130;101;117;121;142;1579
"350335 Arco-Íris";3;1;1;5;-;1;-;1;-;3;2;2;19
"350340 Arealva";2;7;5;6;3;8;4;8;2;10;7;2;64
"350350 Areias";6;2;2;6;5;5;5;2;4;4;3;2;46
"350360 Areiópolis";7;14;18;10;12;19;14;11;12;9;12;6;144
"350370 Ariranha";11;10;6;6;6;8;9;7;8;9;4;4;88
"350380 Artur Nogueira";52;46;67;69;67;67;54;57;48;47;43;46;663
"350390 Arujá";125;115;123;124;131;119;115;111;98;114;105;125;1405
"350395 Aspásia";2;1;1;3;3;-;-;1;1;4;3;1;20
"350400 Assis";108;96;119;125;103;95;104;110;92;89;96;93;1230
"350410 Atibaia";175;193;192;210;193;176;188;151;167;174;151;156;2126
"350420 Auriflama";9;9;13;15;12;12;16;11;9;14;13;7;140
"350430 Avaí";5;3;3;5;6;10;1;1;6;5;3;10;58
"350440 Avanhandava";13;18;14;14;13;10;10;12;11;11;10;11;147
"350450 Avaré";114;127;122;118;122;106;126;120;111;101;93;111;1371
"350460 Bady Bassitt";20;20;18;34;27;24;22;23;25;19;15;30;277
"350470 Balbinos";1;1;1;1;-;3;1;2;1;3;1;-;15
"350480 Bálsamo";9;9;5;9;11;8;4;6;3;8;6;4;82
"350490 Bananal";8;8;10;9;9;5;1;6;8;5;4;9;82
"350500 Barão de Antonina";3;5;5;2;6;9;1;-;2;3;4;3;43
"350510 Barbosa";6;3;4;10;10;8;6;12;14;8;8;8;97
"350520 Bariri";31;30;40;35;34;36;36;40;28;38;31;33;412
"350530 Barra Bonita";33;22;34;29;28;31;37;39;23;26;25;23;350
"350535 Barra do Chapéu";12;6;3;5;7;13;7;8;4;7;5;7;84
"350540 Barra do Turvo";3;2;10;8;6;6;2;8;7;12;7;12;83
"350550 Barretos";145;134;159;139;132;110;128;122;114;112;130;101;1526
"350560 Barrinha";40;38;47;57;47;43;32;38;40;38;26;45;491
"350570 Barueri";458;469;520;511;554;484;480;468;466;449;428;492;5779
"350580 Bastos";28;30;20;26;33;20;11;28;23;25;24;26;294
"350590 Batatais";71;63;74;59;61;66;46;61;61;65;51;64;742
"350600 Bauru";364;345;431;446;461;414;375;384;351;366;314;383;4634
"350610 Bebedouro";84;81;77;86;102;67;80;73;74;74;58;74;930
"350620 Bento de Abreu";3;4;2;1;2;2;-;1;-;2;3;6;26
"350630 Bernardino de Campos";7;7;14;11;9;18;12;18;7;17;5;9;134
"350635 Bertioga";100;85;94;101;107;83;72;80;80;72;82;89;1045
"350640 Bilac";7;4;6;6;5;5;6;6;10;5;4;5;69
"350650 Birigui";145;122;141;146;150;126;113;99;132;112;116;110;1512
"350660 Biritiba-Mirim";26;33;30;37;31;32;25;29;22;34;34;39;372
"350670 Boa Esperança do Sul";23;10;13;17;18;9;7;11;11;16;14;20;169
"350680 Bocaina";12;10;24;12;12;16;14;14;9;9;8;13;153
"350690 Bofete";11;18;11;11;18;8;10;9;14;6;21;10;147
"350700 Boituva";75;65;69;78;76;63;80;91;63;67;52;78;857
"350710 Bom Jesus dos Perdões";28;24;30;37;31;23;19;36;26;21;21;23;319
"350715 Bom Sucesso de Itararé";7;8;2;3;4;6;1;3;8;3;1;11;57
"350720 Borá";1;-;3;2;1;-;4;-;2;-;1;2;16
"350730 Boracéia";5;4;3;3;4;7;6;6;3;4;7;4;56
"350740 Borborema";14;17;14;12;13;14;11;11;8;10;9;8;141
"350745 Borebi";4;3;2;1;4;3;3;3;1;-;1;3;28
"350750 Botucatu";171;164;143;175;166;152;141;145;115;160;137;149;1818
"350760 Bragança Paulista";239;161;238;221;175;173;190;170;190;181;143;190;2271
"350770 Braúna";7;4;9;6;7;13;6;4;3;7;5;6;77
"350775 Brejo Alegre";3;1;1;3;2;2;2;1;2;3;1;2;23
"350780 Brodowski";31;33;36;24;26;30;17;33;20;37;27;21;335
"350790 Brotas";25;29;28;43;23;28;28;34;29;27;23;17;334
"350800 Buri";34;22;24;35;25;37;29;29;22;25;29;29;340
"350810 Buritama";14;19;21;23;21;23;10;15;20;10;17;13;206
"350820 Buritizal";1;6;2;2;7;3;4;4;1;3;4;7;44
"350830 Cabrália Paulista";4;1;4;6;12;7;2;1;3;15;2;3;60
"350840 Cabreúva";68;50;61;58;69;77;73;70;69;57;59;53;764
"350850 Caçapava";98;104;119;133;135;96;114;89;122;115;84;97;1306
"350860 Cachoeira Paulista";25;34;41;35;34;40;48;29;42;25;35;36;424
"350870 Caconde";18;25;23;16;21;20;13;18;16;17;14;18;219
"350880 Cafelândia";21;26;21;14;20;12;29;17;27;14;22;10;233
"350890 Caiabu";9;4;4;2;3;1;8;2;2;2;2;3;42
"350900 Caieiras";119;118;130;130;131;115;118;112;123;126;94;108;1424
"350910 Caiuá";3;4;6;6;6;1;7;4;3;4;1;3;48
"350920 Cajamar";110;109;112;118;111;90;102;88;114;98;95;99;1246
"350925 Cajati";38;42;65;40;58;45;36;34;25;29;34;20;466
"350930 Cajobi";9;6;13;7;9;6;3;7;7;6;7;12;92
"350940 Cajuru";29;30;28;34;32;27;29;34;33;31;22;28;357
"350945 Campina do Monte Alegre";12;5;5;8;7;5;7;10;8;12;12;4;95
"350950 Campinas";1264;1208;1378;1366;1429;1241;1277;1272;1180;1131;1167;1147;15060
"350960 Campo Limpo Paulista";91;71;126;99;85;84;82;79;75;69;70;87;1018
"350970 Campos do Jordão";65;76;63;57;73;76;52;64;67;56;64;49;762
"350980 Campos Novos Paulista";3;4;7;7;8;2;4;9;4;4;3;4;59
"350990 Cananéia";18;25;12;22;19;9;17;12;19;8;7;14;182
"350995 Canas";9;3;8;6;5;6;10;5;6;8;12;5;83
"351000 Cândido Mota";28;22;37;41;24;32;30;23;24;23;19;19;322
"351010 Cândido Rodrigues";3;3;3;1;5;4;1;1;2;1;2;3;29
"351015 Canitar";2;4;6;10;6;10;4;6;4;4;5;6;67
"351020 Capão Bonito";72;60;53;58;54;49;43;51;49;64;51;55;659
"351030 Capela do Alto";23;34;32;20;26;31;25;24;28;19;18;28;308
"351040 Capivari";56;58;64;63;62;59;59;58;55;52;48;49;683
"351050 Caraguatatuba";153;167;171;162;176;167;148;145;134;140;130;147;1840
"351060 Carapicuíba";576;598;647;618;651;539;630;574;558;553;551;503;6998
"351070 Cardoso";8;11;10;11;11;10;12;9;5;8;7;11;113
"351080 Casa Branca";25;27;25;32;25;26;36;18;25;26;20;27;312
"351090 Cássia dos Coqueiros";2;2;4;4;-;2;1;1;1;3;3;1;24
"351100 Castilho";23;17;22;25;19;18;11;20;23;17;13;15;223
"351110 Catanduva";121;105;124;112;145;121;105;104;99;117;90;104;1347
"351120 Catiguá";5;6;12;8;5;8;6;4;2;9;8;2;75
"351130 Cedral";7;6;8;15;6;5;13;9;9;15;13;9;115
"351140 Cerqueira César";20;20;18;26;24;30;19;23;14;23;11;35;263
"351150 Cerquilho";43;43;47;40;48;44;51;40;38;41;35;36;506
"351160 Cesário Lange";23;20;27;28;17;27;20;19;13;21;13;19;247
"351170 Charqueada";23;21;24;28;17;19;18;15;19;16;11;14;225
"355720 Chavantes";19;15;12;14;19;12;15;17;11;23;10;15;182
"351190 Clementina";8;7;10;9;17;7;7;10;8;8;11;14;116
"351200 Colina";21;18;27;23;21;22;23;13;10;18;18;15;229
"351210 Colômbia";4;7;6;11;13;9;11;9;9;8;8;7;102
"351220 Conchal";35;39;50;39;38;42;45;43;32;47;40;36;486
"351230 Conchas";20;20;25;15;16;23;17;9;17;20;21;13;216
"351240 Cordeirópolis";26;29;23;32;29;17;20;24;23;23;21;21;288
"351250 Coroados";1;1;5;12;6;8;5;6;4;2;2;6;58
"351260 Coronel Macedo";7;2;5;4;2;2;3;4;3;-;5;4;41
"351270 Corumbataí";5;5;3;4;5;1;5;1;4;4;4;4;45
"351280 Cosmópolis";56;63;67;84;54;57;52;83;50;64;60;66;756
"351290 Cosmorama";5;8;10;11;12;3;6;6;11;12;5;3;92
"351300 Cotia";367;352;413;364;371;340;322;318;326;352;320;369;4214
"351310 Cravinhos";34;47;36;35;46;29;25;36;28;29;35;34;414
"351320 Cristais Paulista";13;2;17;10;7;10;13;5;7;2;11;7;104
"351330 Cruzália";2;1;7;1;1;2;4;3;1;2;1;1;26
"351340 Cruzeiro";69;77;72;97;73;83;92;81;56;73;74;77;924
"351350 Cubatão";130;141;157;151;139;141;131;127;114;115;148;130;1624
"351360 Cunha";29;17;30;33;12;19;22;21;18;19;10;19;249
"351370 Descalvado";35;32;46;34;33;26;34;27;19;26;26;28;366
"351380 Diadema";490;461;505;499;513;463;502;462;437;446;399;407;5584
"351385 Dirce Reis";1;1;1;1;4;1;-;1;2;1;-;-;13
"351390 Divinolândia";14;6;13;11;13;9;10;14;7;9;11;12;129
"351400 Dobrada";4;5;7;6;7;9;10;13;12;8;8;10;99
"351410 Dois Córregos";21;30;23;40;45;32;28;20;18;24;21;29;331
"351420 Dolcinópolis";2;2;-;1;3;2;3;1;3;-;-;2;19
"351430 Dourado";9;5;12;10;13;4;7;4;4;7;6;4;85
"351440 Dracena";53;33;44;45;40;32;35;45;50;34;38;48;497
"351450 Duartina";10;11;17;8;14;13;11;12;10;9;15;5;135
"351460 Dumont";11;8;13;12;14;11;10;9;7;4;10;19;128
"351470 Echaporã";4;6;15;9;9;11;3;9;5;5;5;8;89
"351480 Eldorado";17;21;13;26;25;23;29;12;21;20;19;12;238
"351490 Elias Fausto";10;24;21;15;23;18;14;16;17;23;15;18;214
"351492 Elisiário";3;2;5;2;1;2;4;1;2;6;-;6;34
"351495 Embaúba";-;1;1;2;5;2;3;2;1;1;2;4;24
"351500 Embu das Artes";359;330;417;321;385;397;322;349;329;340;344;330;4223
"351510 Embu-Guaçu";80;60;78;96;88;83;81;75;73;86;78;80;958
"351512 Emilianópolis";2;2;4;5;3;2;2;5;2;2;5;1;35
"351515 Engenheiro Coelho";27;20;29;26;33;22;21;20;27;28;17;21;291
"351518 Espírito Santo do Pinhal";52;30;42;41;47;34;40;44;36;42;39;29;476
"351519 Espírito Santo do Turvo";7;1;4;4;7;10;2;7;5;3;5;4;59
"355730 Estiva Gerbi";13;8;12;15;17;17;10;8;8;14;8;7;137
"351520 Estrela d'Oeste";8;15;2;5;5;4;3;6;5;6;12;12;83
"351530 Estrela do Norte";6;2;4;3;4;-;3;2;3;-;2;3;32
"351535 Euclides da Cunha Paulista";5;7;12;7;12;10;8;17;9;5;10;9;111
"351540 Fartura";16;23;8;15;15;22;21;20;20;21;16;13;210
"351560 Fernando Prestes";6;6;5;5;6;2;4;6;7;2;5;2;56
"351550 Fernandópolis";59;68;64;96;87;51;60;68;68;70;52;57;800
"351565 Fernão";1;-;4;1;2;-;1;2;3;5;2;2;23
"351570 Ferraz de Vasconcelos";265;264;239;262;274;219;206;240;237;208;225;207;2846
"351580 Flora Rica";3;-;-;1;1;1;2;2;-;1;1;-;12
"351590 Floreal";4;3;2;1;3;-;1;4;3;3;1;2;27
"351600 Flórida Paulista";8;8;11;8;11;2;9;8;8;5;10;7;95
"351610 Florínia";3;1;1;2;2;2;3;3;2;1;1;-;21
"351620 Franca";444;412;474;437;410;415;399;422;375;429;371;388;4976
"351630 Francisco Morato";258;223;296;244;280;237;234;234;220;226;212;216;2880
"351640 Franco da Rocha";196;163;193;208;204;194;156;193;191;148;182;176;2204
"351650 Gabriel Monteiro";6;5;3;5;5;4;1;1;2;2;4;-;38
"351660 Gália";11;13;8;2;7;7;10;7;2;6;4;2;79
"351670 Garça";43;45;49;57;49;32;58;31;39;37;48;40;528
"351680 Gastão Vidigal";1;1;3;6;2;2;4;4;2;4;3;3;35
"351685 Gavião Peixoto";5;3;2;6;7;5;7;5;4;7;4;6;61
"351690 General Salgado";10;5;12;8;12;9;18;9;11;8;7;12;121
"351700 Getulina";8;8;4;10;9;12;6;7;8;5;6;9;92
"351710 Glicério";6;6;6;6;6;5;3;4;1;5;2;3;53
"351720 Guaiçara";12;8;9;12;15;9;11;20;11;14;13;6;140
"351730 Guaimbê";3;4;4;5;3;4;4;5;3;6;5;4;50
"351740 Guaíra";32;32;48;34;44;44;46;47;34;41;28;27;457
"351750 Guapiaçu";17;18;22;23;25;17;18;20;21;28;18;27;254
"351760 Guapiara";24;25;23;33;22;11;15;18;20;14;27;27;259
"351770 Guará";20;19;24;16;35;18;21;10;14;23;22;13;235
"351780 Guaraçaí";4;6;5;12;10;7;9;7;2;2;5;8;77
"351790 Guaraci";10;5;16;11;9;9;8;5;11;10;8;9;111
"351800 Guarani d'Oeste";3;1;4;1;4;1;1;2;4;-;2;2;25
"351810 Guarantã";7;9;10;4;6;11;6;5;5;7;3;7;80
"351820 Guararapes";24;32;30;30;29;36;28;27;25;26;24;28;339
"351830 Guararema";39;27;43;40;43;32;37;34;43;22;27;32;419
"351840 Guaratinguetá";117;138;135;135;149;136;125;110;115;108;95;118;1481
"351850 Guareí";14;17;13;17;19;19;21;15;8;11;12;13;179
"351860 Guariba";55;53;50;49;34;45;33;47;44;41;40;37;528
"351870 Guarujá";391;375;374;411;444;377;384;405;362;329;309;336;4497
"351880 Guarulhos";1870;1783;1877;1828;1907;1704;1703;1759;1701;1668;1661;1651;21112
"351885 Guatapará";4;5;12;12;6;7;10;8;2;5;8;9;88
"351890 Guzolândia";5;4;4;9;5;2;3;2;4;8;1;4;51
"351900 Herculândia";7;6;5;7;8;3;5;11;9;11;4;14;90
"351905 Holambra";22;16;18;22;16;15;20;21;19;14;12;11;206
"351907 Hortolândia";274;257;265;260;281;245;270;253;212;246;250;241;3054
"351910 Iacanga";12;11;12;12;16;13;10;13;10;8;10;11;138
"351920 Iacri";2;6;4;10;4;9;6;4;8;5;1;9;68
"351925 Iaras";9;3;6;4;5;7;7;8;7;5;4;3;68
"351930 Ibaté";41;42;49;51;44;53;42;45;36;32;50;39;524
"351940 Ibirá";11;7;13;10;11;13;7;10;11;5;12;18;128
"351950 Ibirarema";6;5;5;10;9;8;7;7;7;-;7;5;76
"351960 Ibitinga";70;68;69;75;70;55;60;58;66;67;60;66;784
"351970 Ibiúna";93;107;90;87;88;84;86;96;101;75;70;68;1045
"351980 Icém";11;7;17;6;8;9;5;7;6;7;6;11;100
"351990 Iepê";10;10;14;8;12;8;10;5;5;8;10;9;109
"352000 Igaraçu do Tietê";21;26;26;33;27;28;25;28;16;26;17;24;297
"352010 Igarapava";23;28;31;34;32;33;28;26;19;18;24;20;316
"352020 Igaratá";11;17;23;8;15;9;11;11;11;6;14;10;146
"352030 Iguape";36;34;43;35;26;26;35;26;25;30;32;25;373
"352042 Ilha Comprida";12;11;17;17;17;16;7;11;17;14;19;16;174
"352044 Ilha Solteira";26;18;17;24;23;16;21;22;20;29;22;23;261
"352040 Ilhabela";39;39;41;42;40;49;46;40;42;38;50;42;508
"352050 Indaiatuba";300;246;307;278;300;274;293;293;269;270;289;238;3357
"352060 Indiana";11;8;6;2;3;7;8;5;7;7;1;5;70
"352070 Indiaporã";2;2;3;11;-;1;6;4;2;4;2;4;41
"352080 Inúbia Paulista";5;3;3;5;1;5;3;2;7;2;5;2;43
"352090 Ipaussu";19;14;17;20;13;18;19;15;6;16;19;14;190
"352100 Iperó";24;25;25;29;23;37;31;30;29;21;23;25;322
"352110 Ipeúna";8;6;10;6;9;8;4;5;5;5;14;8;88
"352115 Ipiguá";8;9;7;3;6;9;9;12;8;8;2;6;87
"352120 Iporanga";5;3;4;4;8;4;3;6;4;2;3;3;49
"352130 Ipuã";12;8;27;12;14;15;11;19;16;22;12;8;176
"352140 Iracemápolis";26;24;24;30;32;15;17;19;25;25;23;32;292
"352150 Irapuã";10;7;10;9;7;3;7;8;6;8;2;9;86
"352160 Irapuru";12;6;5;10;3;2;7;2;4;6;4;5;66
"352170 Itaberá";22;19;18;27;17;17;22;14;15;17;14;12;214
"352180 Itaí";32;22;36;19;24;33;30;26;40;23;27;23;335
"352190 Itajobi";16;15;12;13;14;14;20;14;11;12;15;11;167
"352200 Itaju";9;4;3;4;2;1;2;1;1;4;3;6;40
"352210 Itanhaém";128;118;123;141;149;130;113;123;107;114;102;115;1463
"352215 Itaóca";1;2;4;2;3;7;7;4;4;2;5;5;46
